"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	1	1	2	4	3	5	7	7	57879	2181
"2"	2	0	1	2	3	0	0	1	1	37270	1425
"3"	3	0	0	0	0	0	0	2	2	58538	2165
"4"	4	2	2	2	3	1	2	4	6	49338	1853
"5"	5	0	0	0	0	0	0	1	4	947	26
"6"	6	0	0	0	0	0	3	4	6	57505	2138
"7"	7	0	0	1	2	2	5	8	8	38879	1462
"8"	8	0	0	0	1	0	1	2	10	6932	245
"9"	9	4	4	8	8	38	40	40	42	18277	654
"10"	10	2	3	5	5	16	19	22	24	26800	1018
"11"	11	0	1	1	2	15	23	26	32	39686	1498
"12"	12	0	0	0	0	2	2	2	5	75641	2822
"13"	13	1	1	1	2	0	0	0	1	66412	2470
"14"	14	0	2	3	5	0	2	3	3	20945	814
"15"	15	1	1	1	4	2	2	2	4	15324	586
"16"	16	0	0	1	1	0	0	2	2	67986	2566
"17"	17	0	0	0	0	3	4	6	8	67948	2521
"18"	18	0	0	0	0	2	4	21	30	883	20
"19"	19	1	1	2	4	59	59	62	66	4520	182
"20"	20	2	2	2	2	0	0	1	2	61101	2295
"21"	21	1	5	10	13	14	19	23	28	11872	455
"22"	22	0	2	2	5	35	37	49	51	19251	700
"23"	23	0	0	0	0	22	25	28	32	15277	548
"24"	24	0	0	0	0	0	0	4	4	49401	1823
"25"	25	5	5	5	5	0	0	1	2	66824	2537
"26"	26	2	2	2	4	17	20	26	31	52469	1944
"27"	27	0	0	0	2	0	2	3	5	68309	2527
"28"	28	0	0	0	0	0	1	2	4	6510	232
"29"	29	0	0	1	2	3	4	6	9	48412	1807
"30"	30	1	1	2	2	0	1	7	8	56947	2129
"31"	31	0	0	0	1	4	8	14	17	36297	1354
"32"	32	0	0	0	3	54	60	62	64	3699	151
"33"	33	0	1	2	3	15	16	23	25	29729	1129
"34"	34	0	1	1	2	29	32	37	41	11522	433
"35"	35	0	0	0	0	0	0	1	2	6362	230
"36"	36	0	0	0	0	15	24	24	31	16369	615
"37"	37	0	0	0	0	0	0	2	3	3721	158
"38"	38	1	3	6	6	3	7	8	8	45387	1704
"39"	39	0	0	0	0	1	1	3	3	3057	119
"40"	40	0	0	0	0	0	0	1	3	10897	391
"41"	41	1	1	2	2	0	0	0	2	72254	2738
"42"	42	0	0	0	0	0	0	5	6	19299	702
"43"	43	0	1	4	6	27	28	33	36	17923	676
"44"	44	1	2	5	8	20	30	38	42	26620	1011
"45"	45	0	0	1	3	26	33	45	50	16801	636
"46"	46	0	1	1	3	0	0	0	0	63549	2398
"47"	47	5	5	5	5	2	5	5	8	60977	2297
"48"	48	3	10	10	10	6	11	17	23	36905	1388
"49"	49	0	0	3	6	10	11	14	19	30450	1156
"50"	50	0	0	0	0	43	46	55	58	19593	698
"51"	51	4	14	15	21	0	0	0	0	54465	2087
"52"	52	0	0	2	3	0	0	0	0	75444	2845
"53"	53	2	2	2	2	0	0	4	9	48206	1830
"54"	54	1	3	3	3	10	14	16	24	38224	1421
"55"	55	0	0	0	0	0	0	0	3	22744	860
"56"	56	2	4	7	9	2	5	8	9	45056	1702
"57"	57	0	0	1	1	1	4	5	5	79733	2987
"58"	58	0	0	0	0	8	13	17	21	48337	1781
"59"	59	0	0	0	1	1	1	2	3	36869	1390
"60"	60	1	1	5	7	7	15	17	19	37452	1419
"61"	61	2	2	3	4	1	2	2	2	20776	767
"62"	62	2	2	7	9	0	2	4	8	35966	1358
"63"	63	2	2	3	3	10	10	17	29	29004	1089
"64"	64	0	0	0	1	0	0	0	0	78598	2949
"65"	65	1	1	4	4	3	6	12	14	46626	1724
"66"	66	0	0	0	0	0	3	5	5	52952	1957
"67"	67	0	0	0	0	7	8	12	15	42849	1555
"68"	68	8	8	8	8	8	8	9	14	74112	2779
"69"	69	0	0	1	3	0	0	0	1	65406	2471
"70"	70	0	0	0	0	0	1	1	3	17695	652
"71"	71	1	1	1	3	0	2	2	2	43497	1627
"72"	72	0	0	0	1	4	4	5	10	41717	1571
"73"	73	1	1	3	3	0	0	0	0	63141	2386
"74"	74	0	0	0	0	57	65	71	75	3505	133
"75"	75	3	3	4	4	0	0	0	1	64283	2403
"76"	76	0	0	0	0	0	0	1	1	2418	88
"77"	77	1	1	1	2	2	3	6	7	48384	1823
"78"	78	1	1	3	4	0	0	1	4	49943	1874
"79"	79	0	0	0	0	2	4	6	7	56654	2145
"80"	80	0	0	2	2	0	0	0	0	79737	2992
"81"	81	0	0	0	0	0	0	0	0	67019	2529
"82"	82	0	0	0	0	3	6	11	12	46700	1752
"83"	83	1	1	2	2	19	23	35	41	31432	1140
"84"	84	0	0	0	0	4	5	9	9	8049	313
"85"	85	1	1	1	4	0	0	0	1	71176	2676
"86"	86	0	0	0	1	0	0	0	0	73683	2754
"87"	87	0	0	0	0	17	26	33	36	23395	900
"88"	88	0	1	1	1	16	16	22	23	23856	901
"89"	89	0	1	1	3	16	21	29	38	28416	1037
"90"	90	2	3	3	4	1	1	5	9	49047	1861
"91"	91	10	11	11	14	0	0	1	1	32507	1230
"92"	92	1	1	2	3	2	5	6	8	53290	2000
"93"	93	3	3	4	7	1	2	3	4	35062	1314
"94"	94	3	3	3	3	3	4	5	5	25497	958
"95"	95	0	0	0	1	0	0	0	0	59234	2238
"96"	96	0	0	2	3	2	2	2	3	32939	1220
"97"	97	0	2	5	5	5	5	6	6	12622	452
"98"	98	0	0	0	1	5	10	18	26	40010	1506
"99"	99	1	1	1	1	2	6	9	11	36311	1390
"100"	100	2	2	7	9	42	52	56	58	7144	250
