"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	20	22	23	24	1857	1949	2160	2274	81294	3051
"2"	2	20	22	22	23	1849	1999	2123	2216	81294	3051
"3"	3	21	22	23	24	1763	1922	2104	2176	81294	3051
"4"	4	22	22	22	23	1901	1970	2101	2201	81294	3051
"5"	5	20	22	23	24	1834	1982	2138	2251	81294	3051
"6"	6	20	22	23	24	1804	1941	2107	2199	81294	3051
"7"	7	20	22	22	23	1871	1987	2144	2210	81294	3051
"8"	8	20	21	23	23	1708	1933	2117	2186	81294	3051
"9"	9	22	22	23	24	1775	1932	2131	2212	81294	3051
"10"	10	22	22	23	23	1966	2074	2164	2251	81294	3051
"11"	11	20	22	22	23	1768	1885	2036	2163	81294	3051
"12"	12	20	22	23	24	1770	1928	2096	2218	81294	3051
"13"	13	22	22	23	24	1859	2004	2170	2318	81294	3051
"14"	14	20	22	22	23	1791	2021	2162	2290	81294	3051
"15"	15	21	22	23	24	1854	1982	2110	2238	81294	3051
"16"	16	22	22	23	24	1892	2002	2107	2259	81294	3051
"17"	17	21	22	23	24	1910	2076	2142	2267	81294	3051
