"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	0	1	3	6	0	0	0	0	86	6
"2"	2	1	3	6	7	0	0	0	0	65	4
"3"	3	1	1	3	3	0	0	0	0	61	5
"4"	4	0	0	0	0	0	0	0	0	51	4
"5"	5	0	0	1	1	6	11	22	34	226	4
"6"	6	0	0	0	0	0	0	0	4	679	25
"7"	7	1	1	1	3	0	0	1	2	445	18
"8"	8	0	0	0	2	0	0	0	0	289	17
"9"	9	0	7	8	16	0	0	0	0	409	21
"10"	10	0	1	8	11	0	0	1	2	274	12
"11"	11	1	1	1	1	0	0	2	4	1269	52
"12"	12	3	5	7	8	0	0	4	5	759	36
"13"	13	0	0	1	2	0	3	5	10	787	26
"14"	14	2	3	7	8	0	0	0	0	461	20
"15"	15	0	0	0	1	0	0	0	2	616	26
"16"	16	0	1	3	4	0	0	0	0	1772	79
"17"	17	3	5	13	20	0	0	0	0	1104	55
"18"	18	5	6	10	15	3	10	12	19	1066	40
"19"	19	0	0	0	0	1	1	1	2	720	27
"20"	20	0	1	2	7	10	12	31	33	634	27
"21"	21	3	4	4	5	0	0	0	0	1967	89
"22"	22	0	1	2	3	0	0	2	2	1806	79
"23"	23	6	13	19	29	30	33	53	62	1296	55
"24"	24	2	4	4	4	0	0	0	3	1166	50
"25"	25	8	11	12	15	0	1	4	6	1508	60
"26"	26	0	1	4	8	0	0	1	2	2944	139
"27"	27	13	18	26	31	49	60	61	67	2347	91
"28"	28	1	5	6	7	0	0	2	6	2268	93
"29"	29	11	16	23	33	7	12	13	20	1941	80
"30"	30	0	0	2	4	0	0	0	0	1594	66
"31"	31	1	2	3	6	0	0	0	1	4435	200
"32"	32	16	19	27	30	61	67	84	98	2502	92
"33"	33	0	0	0	0	0	1	1	1	3847	157
"34"	34	31	38	54	69	29	40	54	60	2192	96
"35"	35	0	1	1	3	0	0	0	1	2336	97
"36"	36	3	3	4	5	0	0	1	2	6870	288
"37"	37	21	25	44	55	29	36	44	44	2157	93
"38"	38	0	0	2	2	0	0	0	1	4599	193
"39"	39	6	22	34	45	30	55	76	93	2202	87
"40"	40	15	17	19	24	0	0	0	0	2617	104
"41"	41	5	6	8	12	0	0	0	1	9463	393
"42"	42	16	20	30	36	61	73	93	111	2817	105
"43"	43	2	5	12	17	7	7	8	9	4870	192
"44"	44	8	9	22	26	6	6	6	9	1620	70
"45"	45	25	33	46	63	12	15	24	28	1769	84
"46"	46	16	25	35	44	6	6	8	8	12958	538
"47"	47	20	26	43	59	73	82	124	142	3171	122
"48"	48	0	0	0	1	0	1	1	3	5847	225
"49"	49	0	1	4	10	1	2	3	5	1926	85
"50"	50	0	0	0	1	1	3	3	6	3081	99
"51"	51	10	18	40	45	4	6	8	10	12958	538
"52"	52	11	24	33	50	76	86	102	120	4909	185
"53"	53	1	1	1	5	0	0	0	2	6563	253
"54"	54	18	27	37	50	4	5	7	8	2650	113
"55"	55	0	1	2	2	5	14	17	28	2595	100
"56"	56	52	57	69	84	8	9	12	12	18253	753
"57"	57	7	19	32	39	47	56	68	90	4013	153
"58"	58	2	2	3	4	14	16	28	39	5866	196
"59"	59	0	0	0	2	1	1	1	1	3070	126
"60"	60	9	13	19	24	0	2	13	13	2038	84
"61"	61	52	64	76	87	8	9	11	12	18253	753
