"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	0	1	2	4	85	102	124	151	6745	207
"2"	2	0	2	3	4	76	96	113	135	7915	230
"3"	3	0	0	0	0	0	0	2	2	3670	145
"4"	4	0	0	2	3	18	20	28	32	5562	196
"5"	5	6	11	29	39	156	169	190	197	4534	167
"6"	6	0	0	0	0	1	5	10	15	2037	63
"7"	7	7	14	26	43	13	13	16	22	1533	47
"8"	8	12	13	18	20	11	12	21	22	1648	69
"9"	9	3	5	8	13	73	105	128	165	2851	80
"10"	10	1	3	4	4	19	20	32	38	1274	38
"11"	11	3	3	3	4	208	228	257	284	10278	295
"12"	12	2	2	7	7	7	13	23	27	5495	187
"13"	13	2	3	6	11	0	1	4	7	2326	90
"14"	14	5	13	20	26	70	80	90	104	4571	161
"15"	15	0	0	0	2	10	13	18	28	2010	91
"16"	16	5	7	10	18	69	83	112	126	3423	117
"17"	17	1	4	8	12	65	68	74	81	1332	46
"18"	18	1	5	6	8	35	45	66	89	3341	99
"19"	19	4	5	10	12	41	54	75	85	2900	97
"20"	20	6	12	16	17	117	121	123	132	2213	69
"21"	21	0	0	0	1	13	15	24	29	12260	422
"22"	22	3	11	18	21	43	58	87	111	6872	220
"23"	23	10	22	26	29	128	134	143	155	2748	118
"24"	24	21	27	32	38	181	217	245	265	5513	170
"25"	25	1	1	4	4	0	0	2	2	1197	52
"26"	26	0	0	0	0	2	7	11	13	1258	41
"27"	27	2	3	7	7	59	64	86	96	3635	120
"28"	28	0	0	0	1	3	8	11	19	4285	145
"29"	29	0	0	0	0	1	1	1	5	2363	64
"30"	30	1	3	6	12	4	4	5	9	806	32
"31"	31	6	8	16	24	101	112	126	135	4992	167
"32"	32	1	2	5	8	30	37	43	51	8605	297
"33"	33	0	0	0	1	6	11	15	18	2253	91
"34"	34	0	0	1	2	62	80	100	106	8323	263
"35"	35	12	15	25	32	83	106	121	128	3048	95
"36"	36	1	1	2	3	81	110	125	142	5370	152
"37"	37	1	2	6	8	10	19	26	41	2188	65
"38"	38	0	0	4	4	1	1	1	1	1931	66
"39"	39	1	1	1	2	24	31	34	36	1880	65
"40"	40	9	10	18	21	27	33	56	57	1596	45
"41"	41	1	1	4	5	33	40	60	75	13018	429
"42"	42	0	0	0	0	0	1	4	5	4022	139
"43"	43	2	3	11	18	85	97	105	135	4808	143
"44"	44	7	12	14	17	26	42	60	67	4456	164
"45"	45	0	1	2	3	41	45	52	55	3236	117
"46"	46	1	2	4	6	13	22	31	32	2508	85
"47"	47	0	1	3	9	33	42	49	63	1262	52
"48"	48	4	8	10	17	70	75	88	93	1700	70
"49"	49	0	1	2	5	85	87	96	101	1455	54
"50"	50	4	8	14	17	103	109	118	125	1934	73
"51"	51	2	4	8	8	77	80	92	99	2352	84
"52"	52	4	6	9	15	7	7	8	10	618	17
"53"	53	0	0	0	0	3	5	7	8	1029	38
"54"	54	0	0	0	1	0	0	2	3	1096	33
"55"	55	0	0	0	0	28	38	52	60	1903	63
"56"	56	0	0	0	2	7	9	13	15	1609	63
"57"	57	0	1	1	1	6	6	9	9	485	20
"58"	58	0	1	1	3	18	22	27	29	1364	42
"59"	59	6	12	20	31	3	3	10	12	622	24
"60"	60	9	13	17	24	12	20	31	35	501	20
"61"	61	0	0	1	2	114	121	128	133	1527	57
"62"	62	3	9	18	24	8	10	17	21	2064	64
"63"	63	3	10	15	20	101	119	126	138	4414	139
"64"	64	1	4	9	13	44	54	62	69	7832	302
"65"	65	0	0	1	1	12	20	30	41	3994	129
"66"	66	10	13	14	16	12	15	15	16	1448	51
"67"	67	0	0	2	8	92	96	100	103	4675	141
"68"	68	0	0	0	0	15	22	29	43	2074	60
"69"	69	7	11	14	16	9	14	27	35	5251	182
"70"	70	0	0	0	0	2	3	5	7	2815	90
"71"	71	0	0	2	4	52	83	129	136	11005	340
"72"	72	0	0	0	0	9	15	19	21	2755	99
"73"	73	5	8	12	15	6	8	9	10	4282	172
"74"	74	1	2	4	10	33	40	55	64	5108	168
"75"	75	0	0	0	0	3	4	4	6	4003	133
"76"	76	2	6	10	10	100	120	136	155	5844	190
"77"	77	0	0	4	4	84	96	113	127	2368	77
"78"	78	9	11	17	19	92	108	122	134	3410	135
"79"	79	0	0	2	3	5	7	12	25	3775	118
"80"	80	4	5	6	13	103	115	125	134	4602	150
"81"	81	0	1	5	12	43	44	47	54	6121	251
"82"	82	1	10	16	20	4	5	6	11	6007	252
"83"	83	0	0	0	0	3	5	7	10	4541	161
"84"	84	4	5	7	7	127	131	151	159	6113	186
"85"	85	0	3	6	12	76	78	78	81	2352	77
"86"	86	0	0	4	13	74	81	88	96	5259	179
"87"	87	4	6	13	24	29	35	40	46	4064	139
"88"	88	1	1	2	8	206	230	249	292	9207	267
"89"	89	3	4	18	21	96	106	123	127	2352	97
"90"	90	17	18	25	27	35	51	65	79	5691	166
"91"	91	0	0	0	0	6	8	13	16	3438	119
"92"	92	0	8	13	17	45	49	54	58	6178	255
"93"	93	2	2	6	9	9	10	14	17	5592	231
"94"	94	1	2	4	6	77	85	86	87	3090	107
"95"	95	6	7	8	10	121	131	142	159	7359	234
"96"	96	0	0	0	1	11	14	32	63	7693	238
"97"	97	11	35	37	46	25	32	40	47	5237	176
"98"	98	2	2	4	7	47	54	62	73	2130	91
"99"	99	0	6	10	20	103	110	129	136	5352	184
"100"	100	1	3	4	6	126	134	148	162	6513	196
