"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	34	40	52	67	8	11	11	12	613	27
"2"	2	0	0	0	0	0	0	0	0	26	1
"3"	3	0	0	0	3	0	0	0	0	48	3
"4"	4	0	0	1	1	0	0	0	11	25	1
"5"	5	1	2	3	5	0	0	0	0	22	2
"6"	6	11	18	23	27	5	12	14	15	24	3
"7"	7	0	0	1	1	0	0	0	2	26	1
"8"	8	1	4	9	21	21	29	37	39	114	6
"9"	9	0	0	3	4	0	0	1	2	28	1
"10"	10	0	0	0	0	0	0	0	7	69	1
"11"	11	0	0	0	0	12	13	13	16	59	2
"12"	12	0	0	0	0	0	0	0	0	36	1
"13"	13	0	0	0	0	0	0	0	1	60	1
"14"	14	0	0	2	2	0	0	1	1	132	8
"15"	15	0	0	0	1	3	3	3	3	52	2
"16"	16	0	0	0	0	0	0	2	3	42	1
"17"	17	0	0	0	0	0	0	2	5	91	1
"18"	18	0	0	0	0	6	8	8	8	43	2
"19"	19	0	0	0	0	0	0	0	0	60	1
"20"	20	1	1	3	4	17	19	21	21	24	1
"21"	21	0	0	0	0	0	0	0	0	11	1
"22"	22	0	0	0	0	0	0	0	3	64	1
"23"	23	3	5	8	10	18	25	36	36	39	2
"24"	24	0	0	0	0	69	81	115	139	287	3
"25"	25	0	0	0	0	0	0	0	1	42	1
"26"	26	0	0	0	1	0	2	2	3	10	1
"27"	27	0	0	0	0	0	0	1	1	23	1
"28"	28	0	0	0	0	0	0	0	0	51	2
"29"	29	0	0	0	0	0	1	1	2	32	1
"30"	30	0	0	0	1	0	0	0	0	16	1
"31"	31	0	0	0	0	0	0	3	3	47	1
"32"	32	0	0	0	0	0	0	0	0	14	1
"33"	33	0	0	0	0	38	40	50	50	145	3
"34"	34	0	0	0	0	0	0	0	0	17	1
"35"	35	0	0	0	0	3	3	6	6	135	3
"36"	36	0	0	1	2	0	0	0	0	7	1
"37"	37	0	0	0	0	4	6	6	6	105	2
"38"	38	0	0	0	0	0	0	0	0	26	1
"39"	39	0	0	0	0	0	0	0	1	9	1
"40"	40	1	2	3	5	14	14	15	16	64	3
"41"	41	0	0	0	0	0	0	0	1	55	1
"42"	42	0	0	0	0	0	0	2	3	65	1
"43"	43	0	0	0	0	0	0	1	2	36	1
"44"	44	0	0	0	0	0	0	0	0	20	1
"45"	45	0	0	0	0	0	0	0	0	21	1
"46"	46	2	2	7	10	1	11	13	14	119	5
"47"	47	0	0	0	0	0	0	0	0	35	2
"48"	48	0	0	0	0	0	0	0	0	25	1
"49"	49	0	0	0	0	0	0	3	5	50	1
"50"	50	0	0	0	0	0	0	0	0	36	1
"51"	51	0	1	1	3	0	0	1	1	23	1
"52"	52	0	0	0	0	0	4	7	7	82	4
"53"	53	0	0	0	2	0	0	0	7	38	1
"54"	54	0	0	1	1	0	0	0	0	8	1
"55"	55	0	0	0	0	0	0	0	0	16	1
"56"	56	0	0	0	0	0	0	0	0	30	2
"57"	57	0	0	0	0	0	0	2	3	44	1
"58"	58	0	0	0	0	0	0	0	2	92	1
"59"	59	0	0	1	1	3	3	3	3	42	2
"60"	60	0	0	4	5	55	57	57	64	55	2
"61"	61	0	0	1	1	3	3	3	4	29	2
"62"	62	0	0	0	0	0	0	0	1	52	1
"63"	63	0	0	0	0	0	0	0	8	128	1
"64"	64	0	0	0	0	0	0	2	2	58	1
"65"	65	0	0	2	13	0	1	1	1	88	5
"66"	66	0	0	0	0	0	0	0	0	67	1
"67"	67	0	0	0	0	1	1	1	1	50	2
"68"	68	0	1	2	3	0	0	2	2	9	1
"69"	69	0	0	0	0	0	0	0	1	38	1
"70"	70	0	0	0	0	0	0	1	2	58	1
"71"	71	0	0	0	0	0	0	0	2	42	1
"72"	72	0	0	0	0	0	0	1	1	94	1
"73"	73	0	0	0	0	32	54	59	59	50	2
"74"	74	0	0	0	0	0	0	2	2	47	1
"75"	75	0	0	4	6	0	0	0	0	15	1
"76"	76	0	0	0	0	4	12	12	13	152	2
"77"	77	0	0	4	5	0	0	0	0	8	1
"78"	78	0	0	3	5	0	1	1	1	14	1
"79"	79	8	16	24	34	18	21	22	24	31	2
"80"	80	0	0	0	0	0	0	1	1	14	1
"81"	81	0	0	1	1	1	2	2	2	59	2
"82"	82	0	0	0	0	0	0	0	2	23	1
"83"	83	0	0	4	5	0	0	0	0	23	1
"84"	84	0	0	0	0	0	0	1	3	18	1
"85"	85	0	0	0	0	0	0	0	0	16	1
"86"	86	0	0	0	0	0	0	1	1	69	1
"87"	87	0	0	2	2	8	8	8	8	25	2
"88"	88	0	0	0	3	0	0	0	1	20	1
"89"	89	0	0	0	0	2	2	2	4	30	2
"90"	90	0	0	0	0	0	0	1	1	32	1
"91"	91	0	0	0	0	0	0	0	0	48	1
"92"	92	0	0	0	0	0	0	0	0	34	1
"93"	93	0	0	0	1	0	0	0	1	16	1
"94"	94	0	0	3	6	1	1	1	1	22	1
"95"	95	0	0	2	3	0	0	0	1	16	1
"96"	96	0	0	1	2	0	0	0	0	31	2
"97"	97	0	0	1	2	0	0	0	0	19	1
"98"	98	0	0	0	0	0	0	0	1	18	1
"99"	99	0	0	0	0	0	0	0	0	22	1
"100"	100	0	0	0	0	0	0	0	0	23	1
"101"	101	1	4	7	9	0	0	0	0	20	2
"102"	102	12	18	30	38	46	48	48	50	41	3
"103"	103	0	0	0	0	0	0	1	3	45	1
"104"	104	0	0	0	0	0	0	0	0	14	1
"105"	105	0	0	0	3	0	0	3	3	30	1
"106"	106	0	0	0	0	0	0	0	0	6	1
"107"	107	0	0	3	8	0	0	0	5	16	1
"108"	108	0	0	3	5	0	0	0	0	27	1
"109"	109	0	0	1	3	0	0	0	0	7	1
"110"	110	0	0	0	0	0	0	0	0	14	1
"111"	111	0	0	0	1	0	2	2	2	19	1
"112"	112	0	0	0	0	0	0	1	4	24	1
"113"	113	1	4	6	12	1	4	7	8	140	4
"114"	114	0	0	0	0	0	0	0	0	15	1
