"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
	1	78	83	98	119	14	19	26	27	3551	127
	3	0	0	0	0	19	27	31	35	991	33
	2	0	2	7	20	6	8	10	10	1460	59
	4	0	0	2	4	65	68	94	116	1057	21
	5	0	0	1	2	11	14	19	20	635	25
	6	0	0	0	0	9	9	17	20	191	3
	7	0	2	2	2	0	1	2	4	79	3
	8	0	0	0	0	0	0	3	6	50	1
	9	0	0	2	3	0	0	0	0	38	1
	10	0	2	2	3	0	2	6	7	276	10
	11	0	0	0	0	0	0	0	2	58	1
	12	0	0	0	0	0	1	2	2	47	1
	13	7	14	24	31	14	21	24	28	31	2
	14	0	0	0	0	0	0	0	3	23	1
	15	0	0	1	1	1	1	5	6	136	5
	16	0	0	0	0	0	0	0	0	23	1
	17	0	0	1	1	5	6	6	9	52	2
	18	0	0	4	5	0	2	2	2	59	2
	19	1	2	4	7	0	0	0	0	26	1
	20	0	0	0	1	0	0	0	1	16	1
